번호,터미널명,구,동,주소,등록일자,보관대수,위도,경도
122,안민동 정자나무,성산구,용지동,경남 창원시 성산구 안민동  73 도,2010-06-22,19,35.18679541,128.6916536
123,양덕동 경남은행,성산구,용지동,경남 창원시 마산회원구 양덕동  25(도),2021-07-27,20,35.2305874,128.5841963
124,양덕동 삼각지 공원,성산구,용지동,경남 창원시 마산회원구 양덕동  412-14 답,2011-08-05,22,35.22073095,128.589381
125,양덕동메트로시티앞,성산구,용지동,경남 창원시 마산회원구 양덕동  84-15,2014-12-09,20,35.2282243,128.5811668
126,양덕초등학교 앞,성산구,용지동,경남 창원시 마산회원구 양덕동  833 공원,2011-08-05,18,35.2333863,128.5874176
127,어시장 정문,성산구,용지동,경남 창원시 마산합포구 신포동2가  118 도로,2011-08-05,20,35.20107794,128.5759056
128,오동동 삼성생명앞,성산구,용지동,경남 창원시 마산합포구 오동동  289-15 삼성생명앞 버스정류소,2013-10-03,20,35.20853166,128.5763669
129,용마고 앞,성산구,용지동,경남 창원시 마산합포구 산호동  470-8 도로,2011-08-05,22,35.21091381,128.581624
130,용원공영주차빌딩,성산구,용지동,경남 창원시 진해구 용원동  1219-1,2020-02-13,15,35.1000008,128.8144103
131,용원동 애플타운상가 옆,성산구,용지동,경남 창원시 진해구 용원동  1359,2020-09-11,18,35.0885845,128.8141018
132,용원하나로마트(맞은편),성산구,웅남동,경남 창원시 진해구 용원동  1289,2015-06-14,17,35.100843,128.809458
133,용지동 주민센터,성산구,웅남동,경남 창원시 성산구 용호동  62-2 용지동 주민센터,2008-10-02,30,35.23599775,128.6846396
134,용지사거리,성산구,웅남동,경남 창원시 성산구 반림동  512-3 도,2010-06-22,20,35.23203015,128.6729077
135,용지아이파크 건너편,성산구,웅남동,경남 창원시 성산구 중앙동  516-3 도,2010-06-22,20,35.22969244,128.6761692
136,용지호수,성산구,웅남동,경남 창원시 성산구 용호동  554-1,2009-05-12,27,35.23179134,128.6799967
137,용호동 35번지 공원옆,성산구,웅남동,경남 창원시 성산구 용호동  35 공,2009-05-13,24,35.23938463,128.6836633
138,우리누리청소년문화센터,성산구,웅남동,경남 창원시 마산회원구 합성동  58-5 도로,2011-08-05,24,35.2408699,128.59025
139,우성아파트 버스정류소 앞,성산구,웅남동,경남 창원시 진해구 풍호동  726-2 도로,2011-08-05,23,35.13954611,128.7021518
140,웅2동 청안공원,성산구,웅남동,경남 창원시 진해구 용원동  1207-1 공원,2011-08-05,11,35.10383877,128.8066506
141,중앙동 BNG사원아파트 앞,성산구,중앙동,경남 창원시 성산구 내동  332-5,2011-08-10,32,35.21988953,128.6660171
142,중앙동 여우비공원(중앙시장옆),성산구,중앙동,경남 창원시 성산구 중앙동  20-2 공,2009-05-13,15,35.22735247,128.6748388
143,지귀상가,성산구,중앙동,경남 창원시 의창구 봉곡동  502-1 도,2009-05-13,20,35.24470126,128.6588717
144,진해 덕산동 주민센터,성산구,중앙동,경남 창원시 진해구 풍호동  764-1,2017-01-30,20,35.1434288,128.7034528
145,진해 중원쉼터,성산구,중앙동,경남 창원시 진해구 평안동  2,2011-01-14,25,35.14983681,128.6602718
146,진해LH자은프라임앞,성산구,중앙동,경남 창원시 진해구 자은동  102,2016-07-22,38,35.1523661,128.7183937
147,진해고등학교,성산구,중앙동,경남 창원시 진해구 여좌동  150-1도,2012-08-16,26,35.15975782,128.6628091
148,진해공설운동장,성산구,중앙동,경남 창원시 진해구 도만동  19 진해공설운동장사거리,2019-10-17,20,35.1496686,128.6557247
149,진해구청,성산구,중앙동,경남 창원시 진해구 풍호동  30-12 도로,2011-08-05,18,35.13495742,128.7103379
150,진해도서관,성산구,중앙동,경남 창원시 진해구 여좌동  795-1,2011-01-14,20,35.1522614,128.6664927
151,진해동부도서관,성산구,중앙동,경남 창원시 진해구 용원동  1226 공원,2011-08-05,8,35.10063496,128.817873
152,진해롯데마트옆시내버스정류장,성산구,중앙동,경남 창원시 진해구 석동  264 도로,2011-08-05,25,35.15784126,128.7006766
153,진해루,성산구,중앙동,경남 창원시 진해구 경화동  1007-14,2011-01-14,30,35.14731032,128.684417
154,진해마린푸르지오앞,성산구,중앙동,경남 창원시 진해구 풍호동  305-3,2016-07-22,20,35.135001,128.70451
155,진해시외버스터미널 옆(황실뷔페앞),성산구,중앙동,경남 창원시 진해구 인의동  30,2017-09-11,20,35.1450008,128.6618006
156,진해여중옆,성산구,중앙동,경남 창원시 진해구 여좌동  218 도로,2011-08-05,20,35.15534571,128.6593115
157,진해중앙고삼거리,성산구,중앙동,경남 창원시 진해구 경화동  853-59,2011-08-05,25,35.15957362,128.6902213
158,진해홈플러스건너편,성산구,중앙동,경남 창원시 진해구 경화동  969-2 도로,2011-08-05,20,35.15375799,128.6911762
159,차룡119안전센터,성산구,중앙동,경남 창원시 의창구 팔용동  501-3 도,2009-05-13,15,35.24329273,128.6229247
160,창원 중앙역,성산구,중앙동,경남 창원시 의창구 용동  633-8,2010-12-20,40,35.24116783,128.7016636
161,창원 컨벤션센터 앞,성산구,중앙동,경남 창원시 성산구 반지동  505-2 컨벤션센터앞 보도,2008-08-18,32,35.2394854,128.6564791
162,창원고등학교,성산구,중앙동,경남 창원시 의창구 도계동  907도,2016-07-21,25,35.255428,128.641101
163,창원과학고버스정류소,성산구,중앙동,경남 창원시 의창구 중동  722,2020-09-11,25,35.2556379,128.6226887
164,창원남고삼거리,성산구,중앙동,경남 창원시 성산구 외동  205-1 도,2010-06-22,28,35.21129074,128.681193
165,까치아파트삼거리,의창구,동읍,경남 창원시 의창구 봉곡동  502-1 도,2010-06-22,20,35.24630253,128.6655021
166,남문 세스페데스공원 옆,의창구,동읍,경남 창원시 진해구 남문동  1253-5,2021-07-27,20,35.1054659,128.7510163
167,남부터미널 앞,의창구,동읍,경남 창원시 마산합포구 해운동  5-56,2011-08-05,20,35.17948221,128.5602629
168,남산복지회관,의창구,동읍,경남 창원시 성산구 가음동  37-5 차,2009-05-14,24,35.20555332,128.7030503
169,남산터미널 앞,의창구,동읍,경남 창원시 성산구 남산동  629-12 남산터미널 옆,2008-10-02,35,35.20227023,128.6965942
170,남양동성아파트,의창구,명곡동,경남 창원시 성산구 대방동  309 답,2010-06-22,25,35.21470933,128.7043405
171,내동목련상가,의창구,명곡동,경남 창원시 성산구 내동  515-38 구,2009-05-11,20,35.22275997,128.6611488
172,내서 롯데마트 앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 삼계리 127-1,2011-01-14,30,35.2326368,128.5046155
173,내서 상곡교차로 앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 중리 1056-4,2011-01-14,20,35.24202656,128.5048056
174,내서 숲속마을 4차 아파트 옆,의창구,명곡동,경남 창원시 마산회원구 내서읍 삼계리 515-2도로,2011-08-05,20,35.23156349,128.4969735
175,내서 현대프라자 앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 호계리 295-1 ,2011-08-05,14,35.25358344,128.52121
176,내서맥도날드앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 중리 1043-1,2011-01-14,20,35.2484236,128.5105025
177,내서운동장,의창구,명곡동,경남 창원시 마산회원구 내서읍 삼계리 270-1,2011-01-14,25,35.22627448,128.5037005
178,내서코오롱1차상가 정류소 앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 호계리 109-7,2011-08-05,21,35.26565113,128.5260165
179,내서코오롱2차상가앞,의창구,명곡동,경남 창원시 마산회원구 내서읍 호계리 181-1도로,2011-08-05,18,35.2610389,128.5230124
180,내수면환경생태공원주차장,의창구,명곡동,경남 창원시 진해구 태백동  55-37,2014-12-09,15,35.1647377,128.6601604
181,냉천로 안전지대,의창구,명곡동,경남 창원시 진해구 이동  46-6,2011-08-05,20,35.15051009,128.7007624
182,냉천사거리버스정류소,의창구,명곡동,경남 창원시 진해구 석동  140 대지,2011-08-05,20,35.15168777,128.7060678
183,노블파크아파트 버스정류소,의창구,명곡동,경남 창원시 성산구 반림동  511도,2009-04-23,28,35.23569542,128.6656737
184,농업기술센터앞,의창구,명곡동,경남 창원시 의창구 명서동  210 공,2010-01-11,30,35.23879971,128.6482421
185,농협 서상동지점,의창구,명곡동,경남 창원시 의창구 서상동  344-4,2009-04-26,15,35.26217775,128.6183274
186,누비자운영센터,의창구,명곡동,경남 창원시 성산구 두대동  누비자운영센터,2011-10-06,0,35.23239603,128.6689246
187,누비자중앙센터,의창구,명곡동,경남 창원시 성산구 상남동 29-4,,,35.2185,128.6809
188,늘푸른요양병원옆,의창구,명곡동,경남 창원시 진해구 여좌동  832-13,2011-08-05,17,35.15245095,128.6730659
189,늘푸른전당,의창구,명곡동,경남 창원시 성산구 삼동동  250 전,2009-05-13,20,35.23018759,128.6539337
190,도청사거리,의창구,봉림동,경남 창원시 의창구 사림동  501-3 도,2010-06-22,20,35.23765397,128.6884081
191,동남공단,의창구,봉림동,경남 창원시 성산구 외동  789,2014-01-23,20,35.2161123,128.6727745
192,동읍동중학교 앞,의창구,봉림동,경남 창원시 의창구 동읍 신방리 871-6 수로,2011-08-04,16,35.29124577,128.6758769
193,동읍보건지소,의창구,봉림동,경남 창원시 의창구 동읍 용잠리 230-7 대,2009-05-14,15,35.27961762,128.6887193
