번호,터미널명,구,동,주소,등록일자,보관대수,위도,경도
244,도계주유소,진해구,병암동,경남 창원시 의창구 도계동  454 도,2010-01-11,25,35.25533129,128.6362231
245,도계초교 앞 노외주차장,진해구,병암동,경남 창원시 의창구 도계동  438번지 (도계초등학교 앞 노외주차장),2008-10-02,27,35.25969855,128.6385942
246,사파동주민센터옆,진해구,석동,경남 창원시 성산구 대방동  344-1 차,2009-05-13,25,35.21550698,128.709147
247,사파무궁화아파트,진해구,석동,경남 창원시 성산구 사파동  503 도,2010-06-22,20,35.21984132,128.6925226
248,사파민원센터옆,진해구,석동,경남 창원시 성산구 사파동  502-2 구,2009-05-13,25,35.22215083,128.6983296
249,사파삼익아파트 버스정류소,진해구,석동,경남 창원시 성산구 사파동  503도,2010-01-11,30,35.21761939,128.6941051
250,사화사거리(창원드림타운앞보도),진해구,석동,경남 창원시 의창구 팔용동  532-2 (사화사거리),2018-10-15,20,35.2394612,128.6334043
251,성주동주민센터,진해구,여좌동,경남 창원시 성산구 성주동  59 공,2009-05-14,20,35.18896996,128.6943519
252,성주동한화테크윈정문,진해구,여좌동,경남 창원시 성산구 성주동  517 도,2009-05-14,20,35.19827249,128.6860371
253,성주프리빌리지 버스정류소,진해구,여좌동,경남 창원시 성산구 대방동  377-1 성주프리빌리지앞 버스정류소,2009-05-14,31,35.20357209,128.7090987
254,웅남동 상복사거리,진해구,웅동2동,경남 창원시 성산구 웅남동  524 공원,2011-08-10,20,35.20210367,128.6710489
255,웅남동 창곡삼거리,진해구,웅동2동,경남 창원시 성산구 웅남동  70,2011-08-05,20,35.21588827,128.6468714
256,웅남동 효성굿스프링스 앞,진해구,웅동2동,경남 창원시 성산구 웅남동  458 도로,2011-08-05,20,35.21802259,128.6565113
257,웅남동주민센터,진해구,웅동2동,경남 창원시 성산구 웅남동  주민센터 앞,2009-05-14,15,35.2055599,128.6272752
258,웅천남문지구(시티프라디움사거리),진해구,웅동2동,경남 창원시 진해구 남문동  1305 (시티프라디움1차),2018-10-15,15,35.1053123,128.7551345
259,웅천동주민센터,진해구,웅동2동,경남 창원시 진해구 성내동  376(웅천행정복지센터),2019-08-08,12,35.1111448,128.7498012
260,원풍벽산 입구 하천옆,진해구,웅동2동,경남 창원시 의창구 팔용동  514-16 도,2009-05-13,25,35.25189689,128.6187699
261,월영광장,진해구,웅천동,경남 창원시 마산합포구 해운동  4,2011-08-05,21,35.1802934,128.5587072
262,월영동한국방송통신대학앞,진해구,웅천동,경남 창원시 마산합포구 해운동  55,2014-12-09,20,35.177322,128.567409
263,월영마을,진해구,웅천동,경남 창원시 마산합포구 월영동  706대,2012-08-16,27,35.17436959,128.5589111
264,정우상가앞,진해구,이동,경남 창원시 성산구 용호동  505,2017-01-30,25,35.2285487,128.6789816
265,㈜K.A.T 앞 보도,진해구,자은동,경남 창원시 의창구 팔용동  532-4 도,2009-05-13,15,35.24762559,128.6232358
266,주남저수지 주차장,진해구,자은동,경남 창원시 의창구 동읍 월잠리 303-7,2019-10-15,15,35.3060586,128.6782436
267,중동사거리(메트로병원맞은편),진해구,자은동,경남 창원시 의창구 소답동  114번지 앞 보도,2008-10-02,20,35.26150977,128.6260951
268,중앙고 버스정류소,진해구,자은동,경남 창원시 성산구 용호동  505 도,2009-04-26,30,35.23046584,128.6755174
269,중앙공원,진해구,자은동,경남 창원시 성산구 신촌동  33-3 공,2009-05-14,15,35.20138917,128.6281925
270,창원남중버스정류소앞,진해구,충무동,경남 창원시 성산구 외동  158-3도,2009-05-13,20,35.21328055,128.6776578
271,창원대학교앞,진해구,충무동,경남 창원시 의창구 퇴촌동  산129-1 임,2009-05-13,30,35.24305438,128.691528
272,창원도서관,진해구,충무동,경남 창원시 성산구 중앙동  106-3,2010-01-11,30,35.224578,128.6634997
273,창원레포츠파크(창원경륜장),진해구,충무동,경남 창원시 성산구 중앙동  1번지 경륜공단,2008-01-08,53,35.23295689,128.6681414
274,창원문성대학,진해구,충무동,경남 창원시 성산구 중앙동  304-7 창원전문대,2009-04-22,25,35.23715448,128.6615753
275,창원병원,진해구,충무동,경남 창원시 성산구 중앙동  104-2 잡,2009-04-23,25,35.21752736,128.6712098
276,창원상공회의소,진해구,충무동,경남 창원시 성산구 신월동  501-41 도,2010-06-22,20,35.22831213,128.6842722
277,창원시립곰두리체육센터,진해구,태백동,경남 창원시 의창구 도계동  456-4,2014-12-09,20,35.2528826,128.6375177
278,창원시외버스터미널 옆,진해구,태백동,경남 창원시 의창구 팔용동  35번지 창원시외버스터미널 앞,2008-10-02,25,35.23574362,128.6398441
279,팔용동서식품,진해구,풍호동,경남 창원시 의창구 팔용동  514-7 도,2010-06-22,20,35.2507318,128.6130644
280,팔용종합상가,진해구,풍호동,경남 창원시 의창구 팔용동  505 도,2009-05-11,26,35.2554846,128.6134565
281,풍호초등학교사거리,진해구,풍호동,경남 창원시 진해구 덕산동  516-6 도로,2011-08-05,17,35.14013393,128.7076449
282,한국전력공사,진해구,풍호동,경남 창원시 성산구 신월동  99-5 한국전력공사 앞 보도,2008-10-02,25,35.23085802,128.688789
283,한국폴리텍대학정문,진해구,풍호동,경남 창원시 성산구 중앙동  110-1,2014-12-09,25,35.225426,128.668497
